id,1,2,3,4,5,6,7,8,label
605519,3,8,"Week day lunch,Weekend lunch,Late night snack",8 dollars,The mummy,Water,"Parents,Siblings,Strangers",A lot (hot),Shawarma
618355,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",8,weathering with you,hot tea,Friends,,Sushi
313577,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,the big short,coke,"Parents,Siblings",I will have some of this food item with my hot sauce,Sushi
631014,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Prince of Egypt,Water,Friends,A lot (hot),Shawarma
716142,4,"8+ meat, rice, a lot of vegetables, spices, sauces","Week day dinner,Weekend dinner",$5 ,Avengers,Soda,Parents,A moderate amount (medium),Shawarma
517019,5,3,"Week day dinner,Weekend dinner,Late night snack",7,Spirited Away,Beer,"Friends,Strangers",,Sushi
604897,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35,Food wars,Tea,"Parents,Siblings,Friends",,Sushi
741428,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,,Pepsi,Friends,,Pizza
628744,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10-15,Avengers,Water,Strangers,A moderate amount (medium),Shawarma
631181,3,9,"Week day lunch,Weekend lunch,Late night snack",12,Three idiots,Coke,Friends,A little (mild),Shawarma
741658,3,"rice, fish or shrimp, vegetables","Week day dinner,Weekend dinner,At a party",20 dollar for many sushi,"No, But I think Japan.",soup ?,"Parents,Siblings,Friends,Teachers",A little (mild),Sushi
627530,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$14 ,Koe No Katachi,Tea,"Parents,Friends",,Sushi
517064,2,I'd expect it to contain about 7-8 ingredients.,"Week day lunch,At a party",For a pizza slice I'd expect to pay $3-4 at most.,Teenage Mutant Ninja Turtles.,Root-beer.,Parents,,Pizza
608062,5,5,"Week day dinner,Weekend dinner",$15 ,Parasite,Water ,Friends,,Sushi
413570,4,8 ingredients,"Week day lunch,Weekend lunch,At a party,Late night snack",$9 ,Avengers,Sprite,"Siblings,Friends",A little (mild),Shawarma
631216,3,8,Week day lunch,10,Avengers,lemonade,Friends,A little (mild),Shawarma
606821,5,8,"Week day dinner,Weekend dinner",$20 ,Yakuza,Sake,"Parents,Teachers",,Sushi
601363,4,10-12,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$8-$15,Monty Python,Ayran,"Siblings,Friends,Strangers",A lot (hot),Shawarma
738409,2,3,"Week day dinner,Weekend dinner",15,My Hero Academia,milk,Parents,,Sushi
631142,5,4 Ingredients,"Week day lunch,Weekend lunch",$17 per serving,Your Name,Water,"Friends,Strangers",A little (mild),Sushi
632051,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Dictator,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
712054,3,5,Week day lunch,$16 ,Green Book,Nestea Iced Tea,Parents,A little (mild),Shawarma
630929,2,5,"Week day lunch,Weekend lunch,Late night snack",$9 ,none,soda,Friends,,Shawarma
401586,1,10,"Week day lunch,Weekend lunch",12.5,Taken 2,Diet Coke,Friends,A moderate amount (medium),Shawarma
627792,3,Four.,"Week day lunch,Weekend lunch,At a party",8 CAD.,The Avengers.,Coca Cola.,Parents,A moderate amount (medium),Shawarma
712898,2,4,"Week day dinner,Weekend lunch,Weekend dinner",20,Howl's Moving Castle,green tea,"Parents,Friends",,Sushi
517096,3,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Home Alone,Coca Cola,"Siblings,Friends,Teachers",,Pizza
611097,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,coke,"Siblings,Friends",A little (mild),Pizza
718026,3,4,"Week day lunch,Weekend lunch",8,the dictator,pepsi,Friends,,Shawarma
627496,3,8 ingredients,"Weekend lunch,Weekend dinner,At a party",4.25 dollars,Home Alone,Coke,"Parents,Siblings,Friends",A little (mild),Pizza
631198,3,7,"Week day lunch,Weekend lunch,At a party",20,Green Book,water,"Parents,Siblings,Friends,Strangers",A lot (hot),Pizza
603388,2,about 8,Week day lunch,13 cad,The Avengers,Coke,Strangers,A little (mild),Shawarma
501513,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,3 Idiots,Sprite,Strangers,,Shawarma
601547,3,at least 2,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20 per serving,no movie came up to my mind,tea,Friends,,Sushi
635533,1,5,Week day lunch,10,Son of Babylon,Coke,Strangers,A moderate amount (medium),Shawarma
631164,4,"flat bread, some sort of meat, hummus, pickles, beets, lettuce, some spices, salt.

atleast 7","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5-$10,"Aladdin, idk.",Water,Strangers,A moderate amount (medium),Shawarma
632975,2,5,"Week day lunch,Weekend lunch,At a party",4,Monster House,Coke,"Siblings,Friends",A little (mild),Pizza
503957,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$11 ,Home alone,Coke,Friends,I will have some of this food item with my hot sauce,Pizza
716749,3,7,"Week day lunch,Weekend lunch",10-15 dollar,no,water or lemon water,Friends,A moderate amount (medium),Shawarma
520037,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Friends,Teachers,Strangers",,Pizza
625295,3,9,"Week day dinner,Weekend dinner,At a party",$10.00 ,Spirited away,Water,"Parents,Friends",,Sushi
717116,3,4-7,"Week day dinner,Weekend dinner,Late night snack",$20-30,Lost in Translation,"wine, tea, sparkling water",Parents,,Sushi
716549,2,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Spirited Away,Miso soup,Friends,A little (mild),Sushi
712702,2,3,"Week day dinner,Weekend dinner,Late night snack",10,Spirited Away,lemon tea,"Parents,Friends",,Sushi
617310,3,9,"Week day lunch,Weekend lunch,Late night snack",13.99,Avengers ,Lemonade,"Friends,Strangers",A lot (hot),Shawarma
745732,4,"3 to 5 seaweed, rice, meat, cucumber or carrot or avocado.","Week day dinner,Weekend dinner",20 to 35 dollars.,Shin-chan the Movie: Chounouryoku Daikessen - Tobe Tobe Temakizushi).,coca cola,Friends,,Sushi
605207,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12 ,Teenage Mutant Ninja Turtles,Coke,Friends,,Pizza
520383,2,This food item has a variable number of ingredients. It could contain as little as three but will often contain more and there is no upper limit.,"Week day lunch,Weekend dinner,At a party","$3.50, but I'm not sure about this because people don't often buy only one serving",I don't think of a movie when thinking of this food item,Coke,"Friends,Teachers",A little (mild),Pizza
633224,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4.00 ,John Wick,Water,"Friends,Strangers",A little (mild),Shawarma
632868,2,For a classic cheese style it would be 3-4 ingredients. For typical styles around 7-8.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","One medium serving, it would be expected to pay around $20.",Home Alone is the first movie that comes to minds. Im referring to the scene were the whole family order 10+ boxes of pizza and their trying to see who is going to pay.,"Probably a fizzy drink, ideally coca-cola. ","Parents,Siblings,Friends",A little (mild),Pizza
606119,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$1 ,Isle of Dogs,Tea,"Parents,Siblings",A little (mild),Sushi
609116,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,The Avengers,Soda,"Parents,Siblings",A moderate amount (medium),Shawarma
630250,2,"Seafood, rice, nori","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",18 to 20 dollars,jiro dreams of sushi,green tea,"Parents,Friends",A lot (hot),Sushi
625576,3,10,"Week day lunch,Week day dinner,At a party,Late night snack",5,Liquorice Pizza,Water,"Siblings,Friends,Teachers",A little (mild),Pizza
602533,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14,The Avengers,Nestea,"Parents,Friends,Strangers",A lot (hot),Shawarma
607160,2,10,At a party,"$15 for a whole pizza

$3 for a slice",cloudy with a chance of meatballs,diet coke,Teachers,A little (mild),Pizza
627427,4,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",$5.00 ,Air Bud,Soda,"Friends,Strangers",A little (mild),Pizza
632896,3,I expect 6 ingredients contained in this food item.,"Week day lunch,Weekend dinner,At a party",I would expect 12 dollars for 1 serving of this food item.,I think of the movie Your Name.,I think Sake pair with this food item. ,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
719554,3,3,Week day lunch,$6 ,,,Strangers,A little (mild),Shawarma
524441,3,6,"Week day lunch,Weekend lunch,At a party",$10 ,Teenage Mutant Ninja Turtles,Ginger ale,"Siblings,Friends",,Pizza
632091,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12-14$ per wrap.,no movie,a can of soda,"Siblings,Friends",A lot (hot),Shawarma
312320,5,"rice 

onions

hummus

pickles

pickled beets

tahini

chicken or beef shawarma

falafel

lettuce

tomatoes","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","shawarma wrap = $10

shawarma plate = $15",I think of the Cheech & Chong movies when I think of Shawarma,I would pair Coke Cola or bottled water with Shawarma,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Shawarma
494373,3,10,Week day lunch,12-Oct,The avengers,Coke zero,Friends,A moderate amount (medium),Shawarma
603664,2,8,"Week day lunch,At a party",16,Ratatouille,coke,Strangers,,Pizza
619932,3,10,"Week day lunch,Weekend lunch,Late night snack",$11 ,,Juice,"Parents,Strangers",A little (mild),Shawarma
399605,2,5,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Teenage Mutant Ninja Turtles,coke,"Parents,Friends",,Pizza
601941,3,4,"Week day dinner,Weekend lunch,Weekend dinner",15,Crayon Shin-chan the Movie,Oolong Tea,"Parents,Friends",,Sushi
744091,3,1? I thought shawarma refered to the meat and not the whole wrap.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7-8$ for a whole wrap.,The Avengers,Water,Teachers,,Shawarma
631448,2,Around 6-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 6-7 dollars,"Ratatouille again, but that's because my knowledge of movies is limited and I barely watch any.",Orange Juice/ Cold water,"Parents,Siblings,Friends,Strangers",A lot (hot),Shawarma
